Date,Sales,n_stores,Promo,SchoolHoliday,StateHoliday,Year,Month,Week
2013-01-01,2907,1,0,1,1,2013,1,1
2013-01-02,3920386,602,0,1,0,2013,1,1
2013-01-03,3528027,601,0,0.9384359400998337,0,2013,1,1
2013-01-04,3610215,601,0,0.9384359400998337,0,2013,1,1
2013-01-05,2964587,600,0,0.06499999999999997,0,2013,1,1
2013-01-06,6254,3,0,0,0,2013,1,1
2013-01-07,6093933,599,1,0.06510851419031716,0,2013,1,1
2013-01-08,4952478,599,1,0.06510851419031716,0,2013,1,2
2013-01-09,4297272,599,1,0.06510851419031716,0,2013,1,2
2013-01-10,4314074,599,1,0.06510851419031716,0,2013,1,2
2013-01-11,4389696,599,1,0.06510851419031716,0,2013,1,2
2013-01-12,3004666,599,0,0,0,2013,1,2
2013-01-13,2790,2,0,0,0,2013,1,2
2013-01-14,3346808,599,0,0,0,2013,1,2
2013-01-15,3163977,599,0,0,0,2013,1,3
2013-01-16,3012749,599,0,0,0,2013,1,3
2013-01-17,3072432,599,0,0,0,2013,1,3
2013-01-18,3345679,599,0,0,0,2013,1,3
2013-01-19,2954399,599,0,0,0,2013,1,3
2013-01-20,3229,2,0,0,0,2013,1,3
2013-01-21,4940752,599,1,0,0,2013,1,3
2013-01-22,4680093,599,1,0,0,2013,1,4
2013-01-23,4293760,599,1,0,0,2013,1,4
2013-01-24,4092087,599,1,0,0,2013,1,4
2013-01-25,4192388,599,1,0,0,2013,1,4
2013-01-26,2888014,599,0,0,0,2013,1,4
2013-01-27,3205,3,0,0,0,2013,1,4
2013-01-28,3374887,599,0,0,0,2013,1,4
2013-01-29,3087306,599,0,0,0,2013,1,5
2013-01-30,3309817,600,0,0,0,2013,1,5
2013-01-31,3972451,600,0,0.01999999999999999,0,2013,1,5
2013-02-01,3952849,601,0,0.09816971713810321,0,2013,2,5
2013-02-02,3392130,601,0,0,0,2013,2,5
2013-02-03,6354,3,0,0,0,2013,2,5
2013-02-04,5811598,601,1,0.20133111480865232,0,2013,2,5
2013-02-05,5010460,601,1,0.20133111480865232,0,2013,2,6
2013-02-06,4575685,601,1,0.20133111480865232,0,2013,2,6
2013-02-07,4134245,600,1,0.2016666666666668,0,2013,2,6
2013-02-08,4327017,601,1,0.20133111480865232,0,2013,2,6
2013-02-09,3074236,601,0,0,0,2013,2,6
2013-02-10,3932,2,0,0,0,2013,2,6
2013-02-11,3020153,578,0,0.2093425605536332,0,2013,2,6
2013-02-12,3170933,599,0,0.20200333889816371,0,2013,2,7
2013-02-13,3489811,601,0,0.20133111480865232,0,2013,2,7
2013-02-14,3591500,601,0,0.20133111480865232,0,2013,2,7
2013-02-15,3390511,601,0,0.20133111480865232,0,2013,2,7
2013-02-16,3043915,601,0,0,0,2013,2,7
2013-02-17,3881,2,0,0,0,2013,2,7
2013-02-18,5944344,601,1,0.03327787021630618,0,2013,2,7
2013-02-19,4490044,601,1,0.03327787021630618,0,2013,2,8
2013-02-20,4331562,601,1,0.03327787021630618,0,2013,2,8
2013-02-21,4155621,601,1,0.03327787021630618,0,2013,2,8
2013-02-22,4182778,602,1,0.033222591362126255,0,2013,2,8
2013-02-23,2792164,602,0,0,0,2013,2,8
2013-02-24,4751,3,0,0,0,2013,2,8
2013-02-25,3183643,602,0,0,0,2013,2,8
2013-02-26,3233228,602,0,0,0,2013,2,9
2013-02-27,3372217,602,0,0,0,2013,2,9
2013-02-28,3995655,602,0,0,0,2013,2,9
2013-03-01,3974930,602,0,0,0,2013,3,9
2013-03-02,3405162,602,0,0,0,2013,3,9
2013-03-03,13871,4,0,0,0,2013,3,9
2013-03-04,6268665,602,1,0.028239202657807327,0,2013,3,9
2013-03-05,5147621,602,1,0.028239202657807327,0,2013,3,10
2013-03-06,4569447,602,1,0.028239202657807327,0,2013,3,10
2013-03-07,4430243,602,1,0.028239202657807327,0,2013,3,10
2013-03-08,4400064,602,1,0.028239202657807327,0,2013,3,10
2013-03-09,2965414,602,0,0,0,2013,3,10
2013-03-10,6498,6,0,0,0,2013,3,10
2013-03-11,3410311,602,0,0.028239202657807327,0,2013,3,10
2013-03-12,3048534,602,0,0.028239202657807327,0,2013,3,11
2013-03-13,3282923,602,0,0.028239202657807327,0,2013,3,11
2013-03-14,3384970,602,0,0.028239202657807327,0,2013,3,11
2013-03-15,3664835,602,0,0.028239202657807327,0,2013,3,11
2013-03-16,3212360,602,0,0,0,2013,3,11
2013-03-17,20182,7,0,0,0,2013,3,11
2013-03-18,5588699,602,1,0.01993355481727575,0,2013,3,11
2013-03-19,4790314,602,1,0.01993355481727575,0,2013,3,12
2013-03-20,4258797,602,1,0.039867109634551486,0,2013,3,12
2013-03-21,4359535,602,1,0.039867109634551486,0,2013,3,12
2013-03-22,4484905,602,1,0.039867109634551486,0,2013,3,12
2013-03-23,3104822,602,0,0.01993355481727575,0,2013,3,12
2013-03-24,29819,10,0,0,0,2013,3,12
2013-03-25,5762441,601,1,0.9101497504159732,0,2013,3,12
2013-03-26,5189874,601,1,0.9101497504159732,0,2013,3,13
2013-03-27,5248001,601,1,0.9101497504159732,0,2013,3,13
2013-03-28,6132646,601,1,0.9101497504159732,0,2013,3,13
2013-03-30,4643906,601,0,0,0,2013,3,13
2013-03-31,20505,11,0,0,0,2013,3,13
2013-04-01,33197,12,0,1,1,2013,4,13
2013-04-02,4186372,599,0,0.9215358931552589,0,2013,4,14
2013-04-03,3595249,599,0,0.9015025041736227,0,2013,4,14
2013-04-04,3638261,599,0,0.9015025041736227,0,2013,4,14
2013-04-05,3584304,599,0,0.9015025041736227,0,2013,4,14
2013-04-06,3035253,599,0,0,0,2013,4,14
2013-04-07,21788,12,0,0,0,2013,4,14
2013-04-08,5669862,599,1,0.12353923205342242,0,2013,4,14
2013-04-09,4737870,599,1,0.12353923205342242,0,2013,4,15
2013-04-10,4244603,600,1,0,0,2013,4,15
2013-04-11,4177596,600,1,0,0,2013,4,15
2013-04-12,4343638,600,1,0,0,2013,4,15
2013-04-13,2987428,600,0,0,0,2013,4,15
2013-04-14,25308,13,0,0,0,2013,4,15
2013-04-15,3296088,600,0,0,0,2013,4,15
2013-04-16,3251561,600,0,0,0,2013,4,16
2013-04-17,3172346,600,0,0,0,2013,4,16
2013-04-18,3222537,600,0,0,0,2013,4,16
2013-04-19,3428965,600,0,0,0,2013,4,16
2013-04-20,2993576,600,0,0,0,2013,4,16
2013-04-21,23746,12,0,0,0,2013,4,16
2013-04-22,5337514,600,1,0,0,2013,4,16
2013-04-23,4566046,600,1,0,0,2013,4,17
2013-04-24,4049433,599,1,0,0,2013,4,17
2013-04-25,3953269,599,1,0,0,2013,4,17
2013-04-26,4080935,599,1,0,0,2013,4,17
2013-04-27,3074686,598,0,0,0,2013,4,17
2013-04-28,28223,12,0,0,0,2013,4,17
2013-04-29,5568919,600,1,0,0,2013,4,17
2013-04-30,5894051,599,1,0,0,2013,4,18
2013-05-01,2942,1,1,0,1,2013,5,18
2013-05-02,5523275,600,1,0.028333333333333342,0,2013,5,18
2013-05-03,4905476,600,1,0.028333333333333342,0,2013,5,18
2013-05-04,3275802,600,0,0,0,2013,5,18
2013-05-05,32205,13,0,0,0,2013,5,18
2013-05-06,3907779,599,0,0.028380634390651076,0,2013,5,18
2013-05-07,3733891,600,0,0.028333333333333342,0,2013,5,19
2013-05-08,4180441,600,0,0.028333333333333342,0,2013,5,19
2013-05-09,31241,11,0,0,1,2013,5,19
2013-05-10,4556873,600,0,0.40666666666666684,0,2013,5,19
2013-05-11,3316123,601,0,0,0,2013,5,19
2013-05-12,29640,12,0,0,0,2013,5,19
2013-05-13,5398931,601,1,0.04991680532445927,0,2013,5,19
2013-05-14,4917445,601,1,0.04991680532445927,0,2013,5,20
2013-05-15,4363055,601,1,0.04991680532445927,0,2013,5,20
2013-05-16,4336374,601,1,0.04991680532445927,0,2013,5,20
2013-05-17,4432152,601,1,0.04991680532445927,0,2013,5,20
2013-05-18,3181209,601,0,0,0,2013,5,20
2013-05-19,38513,12,0,0,0,2013,5,20
2013-05-20,34992,13,0,0,1,2013,5,20
2013-05-21,3996458,601,0,0.6805324459234607,0,2013,5,21
2013-05-22,3303010,601,0,0.2562396006655575,0,2013,5,21
2013-05-23,3437422,601,0,0.19467554076539106,0,2013,5,21
2013-05-24,3521472,601,0,0.19467554076539106,0,2013,5,21
2013-05-25,2843005,601,0,0,0,2013,5,21
2013-05-26,27295,12,0,0,0,2013,5,21
2013-05-27,5479657,601,1,0.19467554076539106,0,2013,5,21
2013-05-28,4753276,601,1,0.19467554076539106,0,2013,5,22
2013-05-29,4670098,601,1,0.19467554076539106,0,2013,5,22
2013-05-30,1890059,242,1,0,0.15289256198347106,2013,5,22
2013-05-31,5780029,601,1,0.19467554076539106,0,2013,5,22
2013-06-01,3410594,601,0,0,0,2013,6,22
2013-06-02,38277,13,0,0,0,2013,6,22
2013-06-03,5676806,600,1,0,0,2013,6,22
2013-06-04,4877517,601,1,0,0,2013,6,23
2013-06-05,4356523,601,1,0,0,2013,6,23
2013-06-06,4278546,600,1,0,0,2013,6,23
2013-06-07,4344824,600,1,0,0,2013,6,23
2013-06-08,3047374,600,0,0,0,2013,6,23
2013-06-09,38019,12,0,0,0,2013,6,23
2013-06-10,3704106,600,0,0,0,2013,6,23
2013-06-11,3524129,600,0,0,0,2013,6,24
2013-06-12,3336640,600,0,0,0,2013,6,24
2013-06-13,3343968,600,0,0,0,2013,6,24
2013-06-14,3714254,600,0,0,0,2013,6,24
2013-06-15,3082302,600,0,0,0,2013,6,24
2013-06-16,36881,12,0,0,0,2013,6,24
2013-06-17,5650692,602,1,0,0,2013,6,24
2013-06-18,4556592,602,1,0,0,2013,6,25
2013-06-19,3982294,602,1,0.08970099667774084,0,2013,6,25
2013-06-20,3988322,602,1,0.11794019933554828,0,2013,6,25
2013-06-21,4481014,601,1,0.11813643926788694,0,2013,6,25
2013-06-22,3072097,601,0,0,0,2013,6,25
2013-06-23,33828,12,0,0,0,2013,6,25
2013-06-24,3602727,601,0,0.24126455906821978,0,2013,6,25
2013-06-25,3227808,601,0,0.24126455906821978,0,2013,6,26
2013-06-26,3343713,601,0,0.24126455906821978,0,2013,6,26
2013-06-27,3489333,601,0,0.2612312811980035,0,2013,6,26
2013-06-28,4076381,601,0,0.2612312811980035,0,2013,6,26
2013-06-29,3372638,600,0,0,0,2013,6,26
2013-06-30,41851,12,0,0,0,2013,6,26
2013-07-01,6010227,600,1,0.2616666666666666,0,2013,7,26
2013-07-02,5055657,600,1,0.2616666666666666,0,2013,7,27
2013-07-03,4537779,600,1,0.2616666666666666,0,2013,7,27
2013-07-04,4638678,599,1,0.26043405676126885,0,2013,7,27
2013-07-05,4489956,599,1,0.26043405676126885,0,2013,7,27
2013-07-06,2971676,599,0,0.08681135225375625,0,2013,7,27
2013-07-07,40569,12,0,0,0,2013,7,27
2013-07-08,3723728,599,0,0.3472454090150248,0,2013,7,27
2013-07-09,3477973,600,0,0.34666666666666657,0,2013,7,28
2013-07-10,3493881,600,0,0.34666666666666657,0,2013,7,28
2013-07-11,3570817,600,0,0.34666666666666657,0,2013,7,28
2013-07-12,3620242,600,0,0.34666666666666657,0,2013,7,28
2013-07-13,3008958,600,0,0.08666666666666661,0,2013,7,28
2013-07-14,54088,12,0,0,0,2013,7,28
2013-07-15,6360314,601,1,0.49251247920133134,0,2013,7,28
2013-07-16,5152697,601,1,0.49251247920133134,0,2013,7,29
2013-07-17,4590891,601,1,0.49251247920133134,0,2013,7,29
2013-07-18,4459919,601,1,0.49251247920133134,0,2013,7,29
2013-07-19,4530004,601,1,0.49251247920133134,0,2013,7,29
2013-07-20,2988176,601,0,0.08652246256239604,0,2013,7,29
2013-07-21,47065,12,0,0,0,2013,7,29
2013-07-22,3474690,601,0,0.8069883527454241,0,2013,7,29
2013-07-23,3211549,601,0,0.8069883527454241,0,2013,7,30
2013-07-24,3288535,601,0,0.8069883527454241,0,2013,7,30
2013-07-25,3329661,601,0,0.8618968386023295,0,2013,7,30
2013-07-26,3359789,601,0,0.8618968386023295,0,2013,7,30
2013-07-27,2725487,601,0,0.08652246256239604,0,2013,7,30
2013-07-28,48814,12,0,0,0,2013,7,30
2013-07-29,6092300,601,1,0.860232945091514,0,2013,7,30
2013-07-30,5543358,601,1,0.860232945091514,0,2013,7,31
2013-07-31,5661334,601,1,1,0,2013,7,31
2013-08-01,4852519,600,1,0.9716666666666667,0,2013,8,31
2013-08-02,4325862,600,1,0.9716666666666667,0,2013,8,31
2013-08-03,3167049,600,0,0.08666666666666661,0,2013,8,31
2013-08-04,51005,12,0,0,0,2013,8,31
2013-08-05,4020949,600,0,0.7583333333333335,0,2013,8,31
2013-08-06,3598937,600,0,0.7583333333333335,0,2013,8,32
2013-08-07,3537773,600,0,0.7583333333333335,0,2013,8,32
2013-08-08,3524335,596,0,0.7365771812080538,0,2013,8,32
2013-08-09,3549086,602,0,0.7392026578073091,0,2013,8,32
2013-08-10,2976332,602,0,0.0664451827242525,0,2013,8,32
2013-08-11,48467,12,0,0,0,2013,8,32
2013-08-12,6091759,602,1,0.7392026578073091,0,2013,8,32
2013-08-13,5046423,602,1,0.7392026578073091,0,2013,8,33
2013-08-14,4673169,602,1,0.7392026578073091,0,2013,8,33
2013-08-15,3941027,529,1,0.7032136105860112,0.022684310018903593,2013,8,33
2013-08-16,4337400,600,1,0.7383333333333333,0,2013,8,33
2013-08-17,2799670,600,0,0,0,2013,8,33
2013-08-18,42619,12,0,0,0,2013,8,33
2013-08-19,3451918,600,0,0.6516666666666667,0,2013,8,33
2013-08-20,3339299,600,0,0.6516666666666667,0,2013,8,34
2013-08-21,3180419,600,0,0.6516666666666667,0,2013,8,34
2013-08-22,3173373,600,0,0.6516666666666667,0,2013,8,34
2013-08-23,3223991,600,0,0.6516666666666667,0,2013,8,34
2013-08-24,2703372,598,0,0,0,2013,8,34
2013-08-25,40465,12,0,0,0,2013,8,34
2013-08-26,5545741,599,1,0.5559265442404007,0,2013,8,34
2013-08-27,4636032,599,1,0.5559265442404007,0,2013,8,35
2013-08-28,4294933,600,1,0.5566666666666666,0,2013,8,35
2013-08-29,4358715,599,1,0.5058430717863104,0,2013,8,35
2013-08-30,5012806,601,1,0.5074875207986687,0,2013,8,35
2013-08-31,3201876,600,0,0,0,2013,8,35
2013-09-01,39437,13,0,0,0,2013,9,35
2013-09-02,3773131,600,0,0.5066666666666666,0,2013,9,35
2013-09-03,3587818,599,0,0.5058430717863104,0,2013,9,36
2013-09-04,3382365,599,0,0.19031719532554253,0,2013,9,36
2013-09-05,3256285,599,0,0.19031719532554253,0,2013,9,36
2013-09-06,3322673,599,0,0.19031719532554253,0,2013,9,36
2013-09-07,2887492,600,0,0,0,2013,9,36
2013-09-08,37774,12,0,0,0,2013,9,36
2013-09-09,5941528,600,1,0.1383333333333333,0,2013,9,36
2013-09-10,4881817,600,1,0.1383333333333333,0,2013,9,37
2013-09-11,4499949,600,1,0.1383333333333333,0,2013,9,37
2013-09-12,4370110,600,1,0,0,2013,9,37
2013-09-13,4502956,601,1,0,0,2013,9,37
2013-09-14,2873524,601,0,0,0,2013,9,37
2013-09-15,33471,12,0,0,0,2013,9,37
2013-09-16,3405878,601,0,0,0,2013,9,37
2013-09-17,3261280,601,0,0,0,2013,9,38
2013-09-18,2986586,601,0,0,0,2013,9,38
2013-09-19,3215410,601,0,0,0,2013,9,38
2013-09-20,3222018,601,0,0,0,2013,9,38
2013-09-21,2862333,601,0,0,0,2013,9,38
2013-09-22,30942,12,0,0,0,2013,9,38
2013-09-23,5209892,601,1,0,0,2013,9,38
2013-09-24,4455560,601,1,0,0,2013,9,39
2013-09-25,4110974,602,1,0,0,2013,9,39
2013-09-26,4049483,602,1,0,0,2013,9,39
2013-09-27,4437963,602,1,0,0,2013,9,39
2013-09-28,3107714,602,0,0,0,2013,9,39
2013-09-29,38104,13,0,0,0,2013,9,39
2013-09-30,4268776,601,0,0.11647254575707162,0,2013,9,39
2013-10-01,3781957,602,0,0.11794019933554828,0,2013,10,40
2013-10-02,3916688,602,0,0.11794019933554828,0,2013,10,40
2013-10-03,45366,14,0,0,1,2013,10,40
2013-10-04,4394933,602,0,0.2807308970099667,0,2013,10,40
2013-10-05,3030219,602,0,0.01993355481727575,0,2013,10,40
2013-10-06,29985,11,0,0,0,2013,10,40
2013-10-07,6122201,602,1,0.2807308970099667,0,2013,10,40
2013-10-08,5026706,602,1,0.2807308970099667,0,2013,10,41
2013-10-09,4440411,602,1,0.2807308970099667,0,2013,10,41
2013-10-10,4220147,602,1,0.2807308970099667,0,2013,10,41
2013-10-11,4272806,602,1,0.2807308970099667,0,2013,10,41
2013-10-12,3031244,602,0,0.01993355481727575,0,2013,10,41
2013-10-13,28715,11,0,0,0,2013,10,41
2013-10-14,3661343,602,0,0.2292358803986711,0,2013,10,41
2013-10-15,3253350,602,0,0.2292358803986711,0,2013,10,42
2013-10-16,3314532,602,0,0.2292358803986711,0,2013,10,42
2013-10-17,3222218,602,0,0.2292358803986711,0,2013,10,42
2013-10-18,3444900,602,0,0.2292358803986711,0,2013,10,42
2013-10-19,2928016,602,0,0.0664451827242525,0,2013,10,42
2013-10-20,28027,11,0,0,0,2013,10,42
2013-10-21,5438628,602,1,0.5249169435215948,0,2013,10,42
2013-10-22,4481325,602,1,0.5249169435215948,0,2013,10,43
2013-10-23,4065730,602,1,0.5249169435215948,0,2013,10,43
2013-10-24,4053227,602,1,0.5249169435215948,0,2013,10,43
2013-10-25,4033909,602,1,0.5249169435215948,0,2013,10,43
2013-10-26,2850370,602,0,0,0,2013,10,43
2013-10-27,26418,11,0,0,0,2013,10,43
2013-10-28,3196185,602,0,0.6029900332225916,0,2013,10,43
2013-10-29,3433211,602,0,0.6029900332225916,0,2013,10,44
2013-10-30,3879963,602,0,0.6029900332225916,0,2013,10,44
2013-10-31,3828487,516,0,0.5290697674418603,0.001937984496124031,2013,10,44
2013-11-01,2033526,284,0,0.2007042253521126,0,2013,11,44
2013-11-02,3631700,602,0,0,0,2013,11,44
2013-11-03,3936,1,0,0,0,2013,11,44
2013-11-04,5705618,602,1,0,0,2013,11,44
2013-11-05,5209276,602,1,0,0,2013,11,45
2013-11-06,4516788,602,1,0,0,2013,11,45
2013-11-07,4317979,602,1,0,0,2013,11,45
2013-11-08,4557306,602,1,0,0,2013,11,45
2013-11-09,3228721,602,0,0,0,2013,11,45
2013-11-11,3625810,602,0,0,0,2013,11,45
2013-11-12,3379342,602,0,0,0,2013,11,46
2013-11-13,3385905,602,0,0,0,2013,11,46
2013-11-14,3384679,602,0,0,0,2013,11,46
2013-11-15,3641443,602,0,0,0,2013,11,46
2013-11-16,3254239,602,0,0,0,2013,11,46
2013-11-18,5812471,602,1,0,0,2013,11,46
2013-11-19,4963097,602,1,0,0,2013,11,47
2013-11-20,4138384,565,1,0,0,2013,11,47
2013-11-21,4412217,602,1,0,0,2013,11,47
2013-11-22,4367326,602,1,0,0,2013,11,47
2013-11-23,3232229,602,0,0,0,2013,11,47
2013-11-25,3974713,602,0,0,0,2013,11,47
2013-11-26,3761577,602,0,0,0,2013,11,48
2013-11-27,3726859,602,0,0,0,2013,11,48
2013-11-28,4000204,602,0,0,0,2013,11,48
2013-11-29,4712771,602,0,0,0,2013,11,48
2013-11-30,4355719,602,0,0,0,2013,11,48
2013-12-02,7188956,602,1,0,0,2013,12,48
2013-12-03,6112771,602,1,0,0,2013,12,49
2013-12-04,5563324,602,1,0,0,2013,12,49
2013-12-05,5504087,602,1,0,0,2013,12,49
2013-12-06,4506995,602,1,0,0,2013,12,49
2013-12-07,3681318,602,0,0,0,2013,12,49
2013-12-08,680,1,0,0,0,2013,12,49
2013-12-09,4222238,602,0,0,0,2013,12,49
2013-12-10,4225364,602,0,0,0,2013,12,50
2013-12-11,4108532,602,0,0,0,2013,12,50
2013-12-12,4152041,602,0,0,0,2013,12,50
2013-12-13,4334944,602,0,0,0,2013,12,50
2013-12-14,3964943,602,0,0,0,2013,12,50
2013-12-16,8511488,602,1,0,0,2013,12,50
2013-12-17,7178664,602,1,0,0,2013,12,51
2013-12-18,6614465,602,1,0,0,2013,12,51
2013-12-19,6230248,602,1,0.028239202657807327,0,2013,12,51
2013-12-20,6549809,602,1,0.028239202657807327,0,2013,12,51
2013-12-21,5062091,602,0,0,0,2013,12,51
2013-12-22,43353,10,0,0,0,2013,12,51
2013-12-23,7578527,602,0,1,0,2013,12,51
2013-12-24,2754087,602,0,1,0,2013,12,52
2013-12-26,8641,2,0,1,1,2013,12,52
2013-12-27,4357234,602,0,1,0,2013,12,52
2013-12-28,3273697,602,0,0.08637873754152829,0,2013,12,52
2013-12-29,24269,7,0,0,0,2013,12,52
2013-12-30,5507141,602,0,1,0,2013,12,52
2013-12-31,2449049,602,0,1,0,2013,12,53
2014-01-01,3208,1,0,1,1,2014,1,1
2014-01-02,3795617,602,0,1,0,2014,1,1
2014-01-03,3787503,602,0,1,0,2014,1,1
2014-01-04,3119399,602,0,0.0664451827242525,0,2014,1,1
2014-01-05,10067,4,0,0,0,2014,1,1
2014-01-06,4888046,455,1,0.6923076923076923,0,2014,1,1
2014-01-07,5763516,602,1,0.4003322259136215,0,2014,1,1
2014-01-08,4734438,602,1,0.0664451827242525,0,2014,1,2
2014-01-09,4334169,602,1,0.0664451827242525,0,2014,1,2
2014-01-10,4565104,602,1,0.0664451827242525,0,2014,1,2
2014-01-11,3009678,600,0,0,0,2014,1,2
2014-01-13,3411856,600,0,0,0,2014,1,2
2014-01-14,3252243,600,0,0,0,2014,1,2
2014-01-15,3197844,600,0,0,0,2014,1,3
2014-01-16,3125912,599,0,0,0,2014,1,3
2014-01-17,3396745,599,0,0,0,2014,1,3
2014-01-18,3040896,599,0,0,0,2014,1,3
2014-01-20,5757641,599,1,0,0,2014,1,3
2014-01-21,4639072,599,1,0,0,2014,1,3
2014-01-22,4367669,599,1,0,0,2014,1,4
2014-01-23,4103265,599,1,0,0,2014,1,4
2014-01-24,4148553,601,1,0,0,2014,1,4
2014-01-25,2903330,601,0,0,0,2014,1,4
2014-01-27,3198572,601,0,0,0,2014,1,4
2014-01-28,3275719,601,0,0,0,2014,1,4
2014-01-29,3209521,601,0,0,0,2014,1,5
2014-01-30,3473695,601,0,0.019966722129783704,0,2014,1,5
2014-01-31,4288231,601,0,0.019966722129783704,0,2014,1,5
2014-02-01,3332687,601,0,0,0,2014,2,5
2014-02-02,4433,1,0,0,0,2014,2,5
2014-02-03,6488169,601,1,0.13976705490848595,0,2014,2,5
2014-02-04,5400531,601,1,0.13976705490848595,0,2014,2,5
2014-02-05,4646903,601,1,0.13976705490848595,0,2014,2,6
2014-02-06,4499338,601,1,0.13976705490848595,0,2014,2,6
2014-02-07,4215982,601,1,0.13976705490848595,0,2014,2,6
2014-02-08,3103169,601,0,0,0,2014,2,6
2014-02-10,3627893,600,0,0.05000000000000006,0,2014,2,6
2014-02-11,3403263,600,0,0.05000000000000006,0,2014,2,6
2014-02-12,3368993,600,0,0.05000000000000006,0,2014,2,7
2014-02-13,3353839,600,0,0,0,2014,2,7
2014-02-14,3783374,601,0,0,0,2014,2,7
2014-02-15,3074940,601,0,0,0,2014,2,7
2014-02-17,5855887,601,1,0.0948419301164726,0,2014,2,7
2014-02-18,4845847,601,1,0.0948419301164726,0,2014,2,7
2014-02-19,4287069,601,1,0.0948419301164726,0,2014,2,8
2014-02-20,4212691,601,1,0.0948419301164726,0,2014,2,8
2014-02-21,4124523,602,1,0.0946843853820599,0,2014,2,8
2014-02-22,2999821,601,0,0,0,2014,2,8
2014-02-24,3433771,601,0,0.06156405990016644,0,2014,2,8
2014-02-25,3231371,601,0,0.06156405990016644,0,2014,2,8
2014-02-26,3304198,601,0,0.06156405990016644,0,2014,2,9
2014-02-27,3261593,600,0,0.0616666666666667,0,2014,2,9
2014-02-28,4236956,601,0,0.06156405990016644,0,2014,2,9
2014-03-01,3500700,602,0,0,0,2014,3,9
2014-03-02,6071,2,0,0,0,2014,3,9
2014-03-03,5433940,581,1,0.17383820998278826,0,2014,3,9
2014-03-04,5165934,600,1,0.1683333333333333,0,2014,3,9
2014-03-05,4886133,602,1,0.1677740863787375,0,2014,3,10
2014-03-06,4646251,602,1,0.1677740863787375,0,2014,3,10
2014-03-07,4558999,602,1,0.1677740863787375,0,2014,3,10
2014-03-08,3048263,602,0,0,0,2014,3,10
2014-03-09,5640,2,0,0,0,2014,3,10
2014-03-10,3506653,600,0,0.028333333333333342,0,2014,3,10
2014-03-11,3349345,600,0,0.028333333333333342,0,2014,3,10
2014-03-12,3245918,600,0,0.028333333333333342,0,2014,3,11
2014-03-13,3284203,599,0,0.028380634390651076,0,2014,3,11
2014-03-14,3497699,599,0,0.028380634390651076,0,2014,3,11
2014-03-15,3002412,599,0,0,0,2014,3,11
2014-03-16,14221,7,0,0,0,2014,3,11
2014-03-17,5609030,599,1,0,0,2014,3,11
2014-03-18,4654200,600,1,0,0,2014,3,11
2014-03-19,4285179,600,1,0,0,2014,3,12
2014-03-20,3980726,599,1,0,0,2014,3,12
2014-03-21,4056656,600,1,0,0,2014,3,12
2014-03-22,3003659,599,0,0,0,2014,3,12
2014-03-23,21725,10,0,0,0,2014,3,12
2014-03-24,3561705,599,0,0,0,2014,3,12
2014-03-25,3298958,599,0,0,0,2014,3,12
2014-03-26,3221161,599,0,0,0,2014,3,13
2014-03-27,3315485,599,0,0,0,2014,3,13
2014-03-28,3668843,600,0,0,0,2014,3,13
2014-03-29,3124364,600,0,0,0,2014,3,13
2014-03-30,21521,10,0,0,0,2014,3,13
2014-03-31,6602737,602,1,0,0,2014,3,13
2014-04-01,5161012,602,1,0,0,2014,4,13
2014-04-02,4635604,602,1,0,0,2014,4,14
2014-04-03,4540466,602,1,0.01993355481727575,0,2014,4,14
2014-04-04,4560697,602,1,0.01993355481727575,0,2014,4,14
2014-04-05,3202978,602,0,0.01993355481727575,0,2014,4,14
2014-04-06,25056,12,0,0,0,2014,4,14
2014-04-07,3718533,602,0,0.01993355481727575,0,2014,4,14
2014-04-08,3453830,602,0,0.01993355481727575,0,2014,4,14
2014-04-09,3548131,602,0,0.01993355481727575,0,2014,4,15
2014-04-10,3582471,602,0,0.01993355481727575,0,2014,4,15
