Date,Sales,OpenStores,PromoStores,PromoShare,SchoolHolidayShare,DayOfWeek,Year,Month,IsoWeek,IsWeekend
2013-01-01,2907,1,0,0,1,2,2013,1,1,0
2013-01-02,3920386,602,0,0,1,3,2013,1,1,0
2013-01-03,3528027,601,0,0,0.9385382059800664,4,2013,1,1,0
2013-01-04,3610215,601,0,0,0.9385382059800664,5,2013,1,1,0
2013-01-05,2964587,600,0,0,0.0664451827242525,6,2013,1,1,1
2013-01-06,6254,3,0,0,0.0664451827242525,7,2013,1,1,1
2013-01-07,6093933,599,602,1.005008347245409,0.0664451827242525,1,2013,1,2,0
2013-01-08,4952478,599,602,1.005008347245409,0.0664451827242525,2,2013,1,2,0
2013-01-09,4297272,599,602,1.005008347245409,0.0664451827242525,3,2013,1,2,0
2013-01-10,4314074,599,602,1.005008347245409,0.0664451827242525,4,2013,1,2,0
2013-01-11,4389696,599,602,1.005008347245409,0.0664451827242525,5,2013,1,2,0
2013-01-12,3004666,599,0,0,0,6,2013,1,2,1
2013-01-13,2790,2,0,0,0,7,2013,1,2,1
2013-01-14,3346808,599,0,0,0,1,2013,1,3,0
2013-01-15,3163977,599,0,0,0,2,2013,1,3,0
2013-01-16,3012749,599,0,0,0,3,2013,1,3,0
2013-01-17,3072432,599,0,0,0,4,2013,1,3,0
2013-01-18,3345679,599,0,0,0,5,2013,1,3,0
2013-01-19,2954399,599,0,0,0,6,2013,1,3,1
2013-01-20,3229,2,0,0,0,7,2013,1,3,1
2013-01-21,4940752,599,602,1.005008347245409,0,1,2013,1,4,0
2013-01-22,4680093,599,602,1.005008347245409,0,2,2013,1,4,0
2013-01-23,4293760,599,602,1.005008347245409,0,3,2013,1,4,0
2013-01-24,4092087,599,602,1.005008347245409,0,4,2013,1,4,0
2013-01-25,4192388,599,602,1.005008347245409,0,5,2013,1,4,0
2013-01-26,2888014,599,0,0,0,6,2013,1,4,1
2013-01-27,3205,3,0,0,0,7,2013,1,4,1
2013-01-28,3374887,599,0,0,0,1,2013,1,5,0
2013-01-29,3087306,599,0,0,0,2,2013,1,5,0
2013-01-30,3309817,600,0,0,0,3,2013,1,5,0
2013-01-31,3972451,600,0,0,0.019933554817275746,4,2013,1,5,0
2013-02-01,3952849,601,0,0,0.09800664451827243,5,2013,2,5,0
2013-02-02,3392130,601,0,0,0,6,2013,2,5,1
2013-02-03,6354,3,0,0,0,7,2013,2,5,1
2013-02-04,5811598,601,602,1.0016638935108153,0.2009966777408638,1,2013,2,6,0
2013-02-05,5010460,601,602,1.0016638935108153,0.2009966777408638,2,2013,2,6,0
2013-02-06,4575685,601,602,1.0016638935108153,0.2009966777408638,3,2013,2,6,0
2013-02-07,4134245,600,602,1.0033333333333334,0.2009966777408638,4,2013,2,6,0
2013-02-08,4327017,601,602,1.0016638935108153,0.2009966777408638,5,2013,2,6,0
2013-02-09,3074236,601,0,0,0,6,2013,2,6,1
2013-02-10,3932,2,0,0,0,7,2013,2,6,1
2013-02-11,3020153,578,0,0,0.2009966777408638,1,2013,2,7,0
2013-02-12,3170933,599,0,0,0.2009966777408638,2,2013,2,7,0
2013-02-13,3489811,601,0,0,0.2009966777408638,3,2013,2,7,0
2013-02-14,3591500,601,0,0,0.2009966777408638,4,2013,2,7,0
2013-02-15,3390511,601,0,0,0.2009966777408638,5,2013,2,7,0
2013-02-16,3043915,601,0,0,0,6,2013,2,7,1
2013-02-17,3881,2,0,0,0,7,2013,2,7,1
2013-02-18,5944344,601,602,1.0016638935108153,0.03322259136212625,1,2013,2,8,0
2013-02-19,4490044,601,602,1.0016638935108153,0.03322259136212625,2,2013,2,8,0
2013-02-20,4331562,601,602,1.0016638935108153,0.03322259136212625,3,2013,2,8,0
2013-02-21,4155621,601,602,1.0016638935108153,0.03322259136212625,4,2013,2,8,0
2013-02-22,4182778,602,602,1,0.03322259136212625,5,2013,2,8,0
2013-02-23,2792164,602,0,0,0,6,2013,2,8,1
2013-02-24,4751,3,0,0,0,7,2013,2,8,1
2013-02-25,3183643,602,0,0,0,1,2013,2,9,0
2013-02-26,3233228,602,0,0,0,2,2013,2,9,0
2013-02-27,3372217,602,0,0,0,3,2013,2,9,0
2013-02-28,3995655,602,0,0,0,4,2013,2,9,0
2013-03-01,3974930,602,0,0,0,5,2013,3,9,0
2013-03-02,3405162,602,0,0,0,6,2013,3,9,1
2013-03-03,13871,4,0,0,0,7,2013,3,9,1
2013-03-04,6268665,602,602,1,0.02823920265780731,1,2013,3,10,0
2013-03-05,5147621,602,602,1,0.02823920265780731,2,2013,3,10,0
2013-03-06,4569447,602,602,1,0.02823920265780731,3,2013,3,10,0
2013-03-07,4430243,602,602,1,0.02823920265780731,4,2013,3,10,0
2013-03-08,4400064,602,602,1,0.02823920265780731,5,2013,3,10,0
2013-03-09,2965414,602,0,0,0,6,2013,3,10,1
2013-03-10,6498,6,0,0,0,7,2013,3,10,1
2013-03-11,3410311,602,0,0,0.02823920265780731,1,2013,3,11,0
2013-03-12,3048534,602,0,0,0.02823920265780731,2,2013,3,11,0
2013-03-13,3282923,602,0,0,0.02823920265780731,3,2013,3,11,0
2013-03-14,3384970,602,0,0,0.02823920265780731,4,2013,3,11,0
2013-03-15,3664835,602,0,0,0.02823920265780731,5,2013,3,11,0
2013-03-16,3212360,602,0,0,0,6,2013,3,11,1
2013-03-17,20182,7,0,0,0,7,2013,3,11,1
2013-03-18,5588699,602,602,1,0.019933554817275746,1,2013,3,12,0
2013-03-19,4790314,602,602,1,0.019933554817275746,2,2013,3,12,0
2013-03-20,4258797,602,602,1,0.03986710963455149,3,2013,3,12,0
2013-03-21,4359535,602,602,1,0.03986710963455149,4,2013,3,12,0
2013-03-22,4484905,602,602,1,0.03986710963455149,5,2013,3,12,0
2013-03-23,3104822,602,0,0,0.019933554817275746,6,2013,3,12,1
2013-03-24,29819,10,0,0,0.019933554817275746,7,2013,3,12,1
2013-03-25,5762441,601,602,1.0016638935108153,0.9102990033222591,1,2013,3,13,0
2013-03-26,5189874,601,602,1.0016638935108153,0.9102990033222591,2,2013,3,13,0
2013-03-27,5248001,601,602,1.0016638935108153,0.9102990033222591,3,2013,3,13,0
2013-03-28,6132646,601,602,1.0016638935108153,0.9102990033222591,4,2013,3,13,0
2013-03-29,0,0,602,0,0.9717607973421927,5,2013,3,13,0
2013-03-30,4643906,601,0,0,0,6,2013,3,13,1
2013-03-31,20505,11,0,0,0,7,2013,3,13,1
2013-04-01,33197,12,0,0,0.9219269102990033,1,2013,4,14,0
2013-04-02,4186372,599,0,0,0.9219269102990033,2,2013,4,14,0
2013-04-03,3595249,599,0,0,0.9019933554817275,3,2013,4,14,0
2013-04-04,3638261,599,0,0,0.9019933554817275,4,2013,4,14,0
2013-04-05,3584304,599,0,0,0.9019933554817275,5,2013,4,14,0
2013-04-06,3035253,599,0,0,0,6,2013,4,14,1
2013-04-07,21788,12,0,0,0,7,2013,4,14,1
2013-04-08,5669862,599,602,1.005008347245409,0.12292358803986711,1,2013,4,15,0
2013-04-09,4737870,599,602,1.005008347245409,0.12292358803986711,2,2013,4,15,0
2013-04-10,4244603,600,602,1.0033333333333334,0,3,2013,4,15,0
2013-04-11,4177596,600,602,1.0033333333333334,0,4,2013,4,15,0
2013-04-12,4343638,600,602,1.0033333333333334,0,5,2013,4,15,0
2013-04-13,2987428,600,0,0,0,6,2013,4,15,1
2013-04-14,25308,13,0,0,0,7,2013,4,15,1
2013-04-15,3296088,600,0,0,0,1,2013,4,16,0
2013-04-16,3251561,600,0,0,0,2,2013,4,16,0
2013-04-17,3172346,600,0,0,0,3,2013,4,16,0
2013-04-18,3222537,600,0,0,0,4,2013,4,16,0
2013-04-19,3428965,600,0,0,0,5,2013,4,16,0
2013-04-20,2993576,600,0,0,0,6,2013,4,16,1
2013-04-21,23746,12,0,0,0,7,2013,4,16,1
2013-04-22,5337514,600,602,1.0033333333333334,0,1,2013,4,17,0
2013-04-23,4566046,600,602,1.0033333333333334,0,2,2013,4,17,0
2013-04-24,4049433,599,602,1.005008347245409,0,3,2013,4,17,0
2013-04-25,3953269,599,602,1.005008347245409,0,4,2013,4,17,0
2013-04-26,4080935,599,602,1.005008347245409,0,5,2013,4,17,0
2013-04-27,3074686,598,0,0,0,6,2013,4,17,1
2013-04-28,28223,12,0,0,0,7,2013,4,17,1
2013-04-29,5568919,600,602,1.0033333333333334,0,1,2013,4,18,0
2013-04-30,5894051,599,602,1.005008347245409,0,2,2013,4,18,0
2013-05-01,2942,1,602,602,0,3,2013,5,18,0
2013-05-02,5523275,600,602,1.0033333333333334,0.02823920265780731,4,2013,5,18,0
2013-05-03,4905476,600,602,1.0033333333333334,0.02823920265780731,5,2013,5,18,0
2013-05-04,3275802,600,0,0,0,6,2013,5,18,1
2013-05-05,32205,13,0,0,0,7,2013,5,18,1
2013-05-06,3907779,599,0,0,0.02823920265780731,1,2013,5,19,0
2013-05-07,3733891,600,0,0,0.02823920265780731,2,2013,5,19,0
2013-05-08,4180441,600,0,0,0.02823920265780731,3,2013,5,19,0
2013-05-09,31241,11,0,0,0.02823920265780731,4,2013,5,19,0
2013-05-10,4556873,600,0,0,0.4053156146179402,5,2013,5,19,0
2013-05-11,3316123,601,0,0,0,6,2013,5,19,1
2013-05-12,29640,12,0,0,0,7,2013,5,19,1
2013-05-13,5398931,601,602,1.0016638935108153,0.04983388704318937,1,2013,5,20,0
2013-05-14,4917445,601,602,1.0016638935108153,0.04983388704318937,2,2013,5,20,0
2013-05-15,4363055,601,602,1.0016638935108153,0.04983388704318937,3,2013,5,20,0
2013-05-16,4336374,601,602,1.0016638935108153,0.04983388704318937,4,2013,5,20,0
2013-05-17,4432152,601,602,1.0016638935108153,0.04983388704318937,5,2013,5,20,0
2013-05-18,3181209,601,0,0,0,6,2013,5,20,1
2013-05-19,38513,12,0,0,0,7,2013,5,20,1
2013-05-20,34992,13,0,0,0.061461794019933555,1,2013,5,21,0
2013-05-21,3996458,601,0,0,0.6794019933554817,2,2013,5,21,0
2013-05-22,3303010,601,0,0,0.2558139534883721,3,2013,5,21,0
2013-05-23,3437422,601,0,0,0.19435215946843853,4,2013,5,21,0
2013-05-24,3521472,601,0,0,0.19435215946843853,5,2013,5,21,0
2013-05-25,2843005,601,0,0,0,6,2013,5,21,1
2013-05-26,27295,12,0,0,0,7,2013,5,21,1
2013-05-27,5479657,601,602,1.0016638935108153,0.19435215946843853,1,2013,5,22,0
2013-05-28,4753276,601,602,1.0016638935108153,0.19435215946843853,2,2013,5,22,0
2013-05-29,4670098,601,602,1.0016638935108153,0.19435215946843853,3,2013,5,22,0
2013-05-30,1890059,242,602,2.487603305785124,0.19435215946843853,4,2013,5,22,0
2013-05-31,5780029,601,602,1.0016638935108153,0.19435215946843853,5,2013,5,22,0
2013-06-01,3410594,601,0,0,0,6,2013,6,22,1
2013-06-02,38277,13,0,0,0,7,2013,6,22,1
2013-06-03,5676806,600,602,1.0033333333333334,0,1,2013,6,23,0
2013-06-04,4877517,601,602,1.0016638935108153,0,2,2013,6,23,0
2013-06-05,4356523,601,602,1.0016638935108153,0,3,2013,6,23,0
2013-06-06,4278546,600,602,1.0033333333333334,0,4,2013,6,23,0
2013-06-07,4344824,600,602,1.0033333333333334,0,5,2013,6,23,0
2013-06-08,3047374,600,0,0,0,6,2013,6,23,1
2013-06-09,38019,12,0,0,0,7,2013,6,23,1
2013-06-10,3704106,600,0,0,0,1,2013,6,24,0
2013-06-11,3524129,600,0,0,0,2,2013,6,24,0
2013-06-12,3336640,600,0,0,0,3,2013,6,24,0
2013-06-13,3343968,600,0,0,0,4,2013,6,24,0
2013-06-14,3714254,600,0,0,0,5,2013,6,24,0
2013-06-15,3082302,600,0,0,0,6,2013,6,24,1
2013-06-16,36881,12,0,0,0,7,2013,6,24,1
2013-06-17,5650692,602,602,1,0,1,2013,6,25,0
2013-06-18,4556592,602,602,1,0,2,2013,6,25,0
2013-06-19,3982294,602,602,1,0.08970099667774087,3,2013,6,25,0
2013-06-20,3988322,602,602,1,0.11794019933554817,4,2013,6,25,0
2013-06-21,4481014,601,602,1.0016638935108153,0.11794019933554817,5,2013,6,25,0
2013-06-22,3072097,601,0,0,0,6,2013,6,25,1
2013-06-23,33828,12,0,0,0,7,2013,6,25,1
2013-06-24,3602727,601,0,0,0.24086378737541528,1,2013,6,26,0
2013-06-25,3227808,601,0,0,0.24086378737541528,2,2013,6,26,0
2013-06-26,3343713,601,0,0,0.24086378737541528,3,2013,6,26,0
2013-06-27,3489333,601,0,0,0.260797342192691,4,2013,6,26,0
2013-06-28,4076381,601,0,0,0.260797342192691,5,2013,6,26,0
2013-06-29,3372638,600,0,0,0,6,2013,6,26,1
2013-06-30,41851,12,0,0,0,7,2013,6,26,1
2013-07-01,6010227,600,602,1.0033333333333334,0.260797342192691,1,2013,7,27,0
2013-07-02,5055657,600,602,1.0033333333333334,0.260797342192691,2,2013,7,27,0
2013-07-03,4537779,600,602,1.0033333333333334,0.260797342192691,3,2013,7,27,0
2013-07-04,4638678,599,602,1.005008347245409,0.260797342192691,4,2013,7,27,0
2013-07-05,4489956,599,602,1.005008347245409,0.260797342192691,5,2013,7,27,0
2013-07-06,2971676,599,0,0,0.08637873754152824,6,2013,7,27,1
2013-07-07,40569,12,0,0,0.08637873754152824,7,2013,7,27,1
2013-07-08,3723728,599,0,0,0.34717607973421927,1,2013,7,28,0
2013-07-09,3477973,600,0,0,0.34717607973421927,2,2013,7,28,0
2013-07-10,3493881,600,0,0,0.34717607973421927,3,2013,7,28,0
2013-07-11,3570817,600,0,0,0.34717607973421927,4,2013,7,28,0
2013-07-12,3620242,600,0,0,0.34717607973421927,5,2013,7,28,0
2013-07-13,3008958,600,0,0,0.08637873754152824,6,2013,7,28,1
2013-07-14,54088,12,0,0,0.08637873754152824,7,2013,7,28,1
2013-07-15,6360314,601,602,1.0016638935108153,0.49169435215946844,1,2013,7,29,0
2013-07-16,5152697,601,602,1.0016638935108153,0.49169435215946844,2,2013,7,29,0
2013-07-17,4590891,601,602,1.0016638935108153,0.49169435215946844,3,2013,7,29,0
2013-07-18,4459919,601,602,1.0016638935108153,0.49169435215946844,4,2013,7,29,0
2013-07-19,4530004,601,602,1.0016638935108153,0.49169435215946844,5,2013,7,29,0
2013-07-20,2988176,601,0,0,0.08637873754152824,6,2013,7,29,1
2013-07-21,47065,12,0,0,0.08637873754152824,7,2013,7,29,1
2013-07-22,3474690,601,0,0,0.8056478405315615,1,2013,7,30,0
2013-07-23,3211549,601,0,0,0.8056478405315615,2,2013,7,30,0
2013-07-24,3288535,601,0,0,0.8056478405315615,3,2013,7,30,0
2013-07-25,3329661,601,0,0,0.8604651162790697,4,2013,7,30,0
2013-07-26,3359789,601,0,0,0.8604651162790697,5,2013,7,30,0
2013-07-27,2725487,601,0,0,0.08637873754152824,6,2013,7,30,1
2013-07-28,48814,12,0,0,0.08637873754152824,7,2013,7,30,1
2013-07-29,6092300,601,602,1.0016638935108153,0.8604651162790697,1,2013,7,31,0
2013-07-30,5543358,601,602,1.0016638935108153,0.8604651162790697,2,2013,7,31,0
2013-07-31,5661334,601,602,1.0016638935108153,1,3,2013,7,31,0
2013-08-01,4852519,600,602,1.0033333333333334,0.9717607973421927,4,2013,8,31,0
2013-08-02,4325862,600,602,1.0033333333333334,0.9717607973421927,5,2013,8,31,0
2013-08-03,3167049,600,0,0,0.08637873754152824,6,2013,8,31,1
2013-08-04,51005,12,0,0,0.08637873754152824,7,2013,8,31,1
2013-08-05,4020949,600,0,0,0.7591362126245847,1,2013,8,32,0
2013-08-06,3598937,600,0,0,0.7591362126245847,2,2013,8,32,0
2013-08-07,3537773,600,0,0,0.7591362126245847,3,2013,8,32,0
2013-08-08,3524335,596,0,0,0.739202657807309,4,2013,8,32,0
2013-08-09,3549086,602,0,0,0.739202657807309,5,2013,8,32,0
2013-08-10,2976332,602,0,0,0.0664451827242525,6,2013,8,32,1
2013-08-11,48467,12,0,0,0.0664451827242525,7,2013,8,32,1
2013-08-12,6091759,602,602,1,0.739202657807309,1,2013,8,33,0
2013-08-13,5046423,602,602,1,0.739202657807309,2,2013,8,33,0
2013-08-14,4673169,602,602,1,0.739202657807309,3,2013,8,33,0
2013-08-15,3941027,529,602,1.1379962192816635,0.739202657807309,4,2013,8,33,0
2013-08-16,4337400,600,602,1.0033333333333334,0.739202657807309,5,2013,8,33,0
2013-08-17,2799670,600,0,0,0,6,2013,8,33,1
2013-08-18,42619,12,0,0,0,7,2013,8,33,1
2013-08-19,3451918,600,0,0,0.6528239202657807,1,2013,8,34,0
2013-08-20,3339299,600,0,0,0.6528239202657807,2,2013,8,34,0
2013-08-21,3180419,600,0,0,0.6528239202657807,3,2013,8,34,0
2013-08-22,3173373,600,0,0,0.6528239202657807,4,2013,8,34,0
2013-08-23,3223991,600,0,0,0.6528239202657807,5,2013,8,34,0
2013-08-24,2703372,598,0,0,0,6,2013,8,34,1
2013-08-25,40465,12,0,0,0,7,2013,8,34,1
2013-08-26,5545741,599,602,1.005008347245409,0.5581395348837209,1,2013,8,35,0
2013-08-27,4636032,599,602,1.005008347245409,0.5581395348837209,2,2013,8,35,0
2013-08-28,4294933,600,602,1.0033333333333334,0.5581395348837209,3,2013,8,35,0
2013-08-29,4358715,599,602,1.005008347245409,0.5083056478405316,4,2013,8,35,0
2013-08-30,5012806,601,602,1.0016638935108153,0.5083056478405316,5,2013,8,35,0
2013-08-31,3201876,600,0,0,0,6,2013,8,35,1
2013-09-01,39437,13,0,0,0,7,2013,9,35,1
2013-09-02,3773131,600,0,0,0.5083056478405316,1,2013,9,36,0
2013-09-03,3587818,599,0,0,0.5083056478405316,2,2013,9,36,0
2013-09-04,3382365,599,0,0,0.19435215946843853,3,2013,9,36,0
2013-09-05,3256285,599,0,0,0.19435215946843853,4,2013,9,36,0
2013-09-06,3322673,599,0,0,0.19435215946843853,5,2013,9,36,0
2013-09-07,2887492,600,0,0,0,6,2013,9,36,1
2013-09-08,37774,12,0,0,0,7,2013,9,36,1
2013-09-09,5941528,600,602,1.0033333333333334,0.13953488372093023,1,2013,9,37,0
2013-09-10,4881817,600,602,1.0033333333333334,0.13953488372093023,2,2013,9,37,0
2013-09-11,4499949,600,602,1.0033333333333334,0.13953488372093023,3,2013,9,37,0
2013-09-12,4370110,600,602,1.0033333333333334,0,4,2013,9,37,0
2013-09-13,4502956,601,602,1.0016638935108153,0,5,2013,9,37,0
2013-09-14,2873524,601,0,0,0,6,2013,9,37,1
2013-09-15,33471,12,0,0,0,7,2013,9,37,1
2013-09-16,3405878,601,0,0,0,1,2013,9,38,0
2013-09-17,3261280,601,0,0,0,2,2013,9,38,0
2013-09-18,2986586,601,0,0,0,3,2013,9,38,0
2013-09-19,3215410,601,0,0,0,4,2013,9,38,0
2013-09-20,3222018,601,0,0,0,5,2013,9,38,0
2013-09-21,2862333,601,0,0,0,6,2013,9,38,1
2013-09-22,30942,12,0,0,0,7,2013,9,38,1
2013-09-23,5209892,601,602,1.0016638935108153,0,1,2013,9,39,0
2013-09-24,4455560,601,602,1.0016638935108153,0,2,2013,9,39,0
2013-09-25,4110974,602,602,1,0,3,2013,9,39,0
2013-09-26,4049483,602,602,1,0,4,2013,9,39,0
2013-09-27,4437963,602,602,1,0,5,2013,9,39,0
2013-09-28,3107714,602,0,0,0,6,2013,9,39,1
2013-09-29,38104,13,0,0,0,7,2013,9,39,1
2013-09-30,4268776,601,0,0,0.11794019933554817,1,2013,9,40,0
2013-10-01,3781957,602,0,0,0.11794019933554817,2,2013,10,40,0
2013-10-02,3916688,602,0,0,0.11794019933554817,3,2013,10,40,0
2013-10-03,45366,14,0,0,0.11794019933554817,4,2013,10,40,0
2013-10-04,4394933,602,0,0,0.2807308970099668,5,2013,10,40,0
2013-10-05,3030219,602,0,0,0.019933554817275746,6,2013,10,40,1
2013-10-06,29985,11,0,0,0.019933554817275746,7,2013,10,40,1
2013-10-07,6122201,602,602,1,0.2807308970099668,1,2013,10,41,0
2013-10-08,5026706,602,602,1,0.2807308970099668,2,2013,10,41,0
2013-10-09,4440411,602,602,1,0.2807308970099668,3,2013,10,41,0
2013-10-10,4220147,602,602,1,0.2807308970099668,4,2013,10,41,0
2013-10-11,4272806,602,602,1,0.2807308970099668,5,2013,10,41,0
2013-10-12,3031244,602,0,0,0.019933554817275746,6,2013,10,41,1
2013-10-13,28715,11,0,0,0.019933554817275746,7,2013,10,41,1
2013-10-14,3661343,602,0,0,0.2292358803986711,1,2013,10,42,0
2013-10-15,3253350,602,0,0,0.2292358803986711,2,2013,10,42,0
2013-10-16,3314532,602,0,0,0.2292358803986711,3,2013,10,42,0
2013-10-17,3222218,602,0,0,0.2292358803986711,4,2013,10,42,0
2013-10-18,3444900,602,0,0,0.2292358803986711,5,2013,10,42,0
2013-10-19,2928016,602,0,0,0.0664451827242525,6,2013,10,42,1
2013-10-20,28027,11,0,0,0.0664451827242525,7,2013,10,42,1
2013-10-21,5438628,602,602,1,0.5249169435215947,1,2013,10,43,0
2013-10-22,4481325,602,602,1,0.5249169435215947,2,2013,10,43,0
2013-10-23,4065730,602,602,1,0.5249169435215947,3,2013,10,43,0
